article,url,dates,rows,columns,cells,numeric_ratio,popularity,f1_score
Canton of Geneva,https://en.wikipedia.org/wiki/Canton_of_Geneva,{},11,3,33,0.6666666666666666,9133,0.09259259259259259
Canton of Zug,https://en.wikipedia.org/wiki/Canton_of_Zug,{},16,3,48,0.6666666666666666,3460,0.13333333333333333
Cape Winelands District Municipality,https://en.wikipedia.org/wiki/Cape_Winelands_District_Municipality,{},15,3,45,0.3333333333333333,1485,0.11904761904761904
Capital and Coast District Health Board,https://en.wikipedia.org/wiki/Capital_and_Coast_District_Health_Board,{},11,2,22,0.0,184,0.21739130434782608
Case role,https://en.wikipedia.org/wiki/Case_role,{},13,3,39,0.0,205,0.1951219512195122
Category (mathematics),https://en.wikipedia.org/wiki/Category_(mathematics),{},13,3,39,0.0,4785,0.17391304347826086
Central Karoo District Municipality,https://en.wikipedia.org/wiki/Central_Karoo_District_Municipality,{},15,3,45,0.3333333333333333,730,0.09523809523809523
Chadegan County,https://en.wikipedia.org/wiki/Chadegan_County,{},9,4,36,0.75,41,0.1111111111111111
Chartered organizations of Scouting America,https://en.wikipedia.org/wiki/Chartered_organizations_of_Scouting_America,{},48,5,240,0.4,54,0.041025641025641026
Chengdu-Chongqing dialect,https://en.wikipedia.org/wiki/Chengdu-Chongqing_dialect,{},10,5,50,0.8,701,0.08235294117647059
Chile at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Chile_at_the_2015_Pan_American_Games,{},35,4,140,0.75,33,0.5147058823529411
Chile at the 2015 Parapan American Games,https://en.wikipedia.org/wiki/Chile_at_the_2015_Parapan_American_Games,{'Date': '%B %d'},12,5,60,0.0,9,0.08333333333333333
China at the 2012 Summer Olympics,https://en.wikipedia.org/wiki/China_at_the_2012_Summer_Olympics,{},27,4,108,0.75,2325,0.6339285714285714
China at the 2017 Asian Winter Games,https://en.wikipedia.org/wiki/China_at_the_2017_Asian_Winter_Games,{'Date': '%d %B'},35,5,175,0.0,143,0.2666666666666667
China at the 2017 Summer Universiade,https://en.wikipedia.org/wiki/China_at_the_2017_Summer_Universiade,{},10,4,40,0.75,18,0.25
Chinese Taipei at the 2017 Asian Winter Games,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2017_Asian_Winter_Games,{},8,4,32,0.75,23,0.5666666666666667
City of Matlosana,https://en.wikipedia.org/wiki/City_of_Matlosana,{},19,5,95,0.6,302,0.23225806451612904
City of Tshwane Metropolitan Municipality,https://en.wikipedia.org/wiki/City_of_Tshwane_Metropolitan_Municipality,{},53,6,318,0.5,6098,0.2894736842105263
Civil Air Patrol National Cadet Competition,https://en.wikipedia.org/wiki/Civil_Air_Patrol_National_Cadet_Competition,{},40,7,280,0.14285714285714285,84,0.44285714285714284
Climate change in the Netherlands,https://en.wikipedia.org/wiki/Climate_change_in_the_Netherlands,{},8,4,32,1.0,664,0.1097560975609756
Closure of tidal inlets,https://en.wikipedia.org/wiki/Closure_of_tidal_inlets,{},8,5,40,0.4,63,0.2
Coal in India,https://en.wikipedia.org/wiki/Coal_in_India,{},16,3,48,0.3333333333333333,5078,0.5585585585585586
Colombia at the 2017 Summer Universiade,https://en.wikipedia.org/wiki/Colombia_at_the_2017_Summer_Universiade,{},12,4,48,0.75,8,0.22916666666666666
Comedy Central Roast,https://en.wikipedia.org/wiki/Comedy_Central_Roast,{},8,4,32,0.25,21280,0.1
Community of Greater Annecy,https://en.wikipedia.org/wiki/Community_of_Greater_Annecy,{},13,3,39,0.6666666666666666,20,0.31034482758620696
Compass rose,https://en.wikipedia.org/wiki/Compass_rose,{},17,2,34,0.0,11686,0.3636363636363636
Content delivery network,https://en.wikipedia.org/wiki/Content_delivery_network,{},8,4,32,0.0,21737,0.04347826086956522
Contraction (grammar),https://en.wikipedia.org/wiki/Contraction_(grammar),{},9,3,27,0.0,5319,0.1754385964912281
Convenors' Award for Excellence (Aurealis Award),https://en.wikipedia.org/wiki/Convenors%27_Award_for_Excellence_(Aurealis_Award),{},29,3,87,0.3333333333333333,26,0.23076923076923075
Conwy County Borough Council,https://en.wikipedia.org/wiki/Conwy_County_Borough_Council,{},38,3,114,0.3333333333333333,704,0.5
Coptic language,https://en.wikipedia.org/wiki/Coptic_language,{},17,2,34,0.0,31172,0.09999999999999999
Corippo,https://en.wikipedia.org/wiki/Corippo,{},11,2,22,0.5,507,0.40625000000000006
Corporate haven,https://en.wikipedia.org/wiki/Corporate_haven,{},12,8,96,0.625,1939,0.22727272727272727
Costa Rica at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Costa_Rica_at_the_2015_Pan_American_Games,{},25,4,100,0.75,19,0.7
Council House 2,https://en.wikipedia.org/wiki/Council_House_2,{},10,3,30,0.0,506,0.38596491228070173
CountryLink,https://en.wikipedia.org/wiki/CountryLink,{},16,2,32,0.0,830,0.19444444444444442
Crna Trava,https://en.wikipedia.org/wiki/Crna_Trava,{},21,2,42,0.5,478,0.3235294117647059
Croatia at the 2017 Summer Universiade,https://en.wikipedia.org/wiki/Croatia_at_the_2017_Summer_Universiade,{},10,4,40,0.75,9,0.20588235294117646
Cryptanalysis of the Lorenz cipher,https://en.wikipedia.org/wiki/Cryptanalysis_of_the_Lorenz_cipher,{'Time': '%b %Y'},18,2,36,0.0,2045,0.14285714285714288
Cuba at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Cuba_at_the_2015_Pan_American_Games,{},31,4,124,0.75,43,0.5634920634920635
Cuttle,https://en.wikipedia.org/wiki/Cuttle,{},8,2,16,0.0,538,0.4
Cyprus at the 2017 Summer Universiade,https://en.wikipedia.org/wiki/Cyprus_at_the_2017_Summer_Universiade,{},8,4,32,0.75,8,0.28125
Czech Republic at the 2017 Summer Universiade,https://en.wikipedia.org/wiki/Czech_Republic_at_the_2017_Summer_Universiade,{},15,4,60,0.75,10,0.30357142857142855
Dägerlen,https://en.wikipedia.org/wiki/D%C3%A4gerlen,{},10,2,20,0.5,52,0.18867924528301888
Dällikon,https://en.wikipedia.org/wiki/D%C3%A4llikon,{},8,2,16,0.5,105,0.16666666666666669
Dänikon,https://en.wikipedia.org/wiki/D%C3%A4nikon,{},8,2,16,0.5,50,0.23529411764705882
Dübendorf,https://en.wikipedia.org/wiki/D%C3%BCbendorf,{},10,2,20,0.5,830,0.3018867924528302
Damavand County,https://en.wikipedia.org/wiki/Damavand_County,{},13,4,52,0.75,87,0.038461538461538464
Dargaz County,https://en.wikipedia.org/wiki/Dargaz_County,{},16,4,64,0.75,75,0.08333333333333333
Davarzan County,https://en.wikipedia.org/wiki/Davarzan_County,{},8,2,16,0.5,38,0.125
Dearness allowance,https://en.wikipedia.org/wiki/Dearness_allowance,{},13,14,182,1.0,5811,0.7747252747252747
Demographic history of the United States,https://en.wikipedia.org/wiki/Demographic_history_of_the_United_States,{},42,3,126,0.6666666666666666,7827,0.4848484848484849
Demographics of Bradford,https://en.wikipedia.org/wiki/Demographics_of_Bradford,{},20,4,80,0.5,2081,0.22916666666666669
Demographics of Bristol,https://en.wikipedia.org/wiki/Demographics_of_Bristol,{},20,4,80,0.5,922,0.16666666666666666
Demographics of Coventry,https://en.wikipedia.org/wiki/Demographics_of_Coventry,{},20,4,80,0.5,601,0.15
Demographics of France,https://en.wikipedia.org/wiki/Demographics_of_France,{},78,3,234,1.0,36020,0.33760683760683763
Demographics of Greater Manchester,https://en.wikipedia.org/wiki/Demographics_of_Greater_Manchester,{},20,4,80,0.5,1055,0.1721311475409836
Demographics of Leeds,https://en.wikipedia.org/wiki/Demographics_of_Leeds,{},20,4,80,0.5,1271,0.18000000000000002
Demographics of Leicester,https://en.wikipedia.org/wiki/Demographics_of_Leicester,{},20,4,80,0.5,1754,0.16666666666666669
Demographics of Liverpool,https://en.wikipedia.org/wiki/Demographics_of_Liverpool,{},22,4,88,0.25,2047,0.13432835820895525
Demographics of Luton,https://en.wikipedia.org/wiki/Demographics_of_Luton,{},20,4,80,0.5,1273,0.20588235294117646
Demographics of Pakistan,https://en.wikipedia.org/wiki/Demographics_of_Pakistan,{},75,13,975,1.0,19227,0.08102564102564103
Demographics of Sheffield,https://en.wikipedia.org/wiki/Demographics_of_Sheffield,{},20,4,80,0.5,947,0.18333333333333335
Demographics of Switzerland,https://en.wikipedia.org/wiki/Demographics_of_Switzerland,{},222,10,2220,1.0,12094,0.1914221218961625
Demographics of Uttar Pradesh,https://en.wikipedia.org/wiki/Demographics_of_Uttar_Pradesh,{},9,4,36,0.0,12040,0.2058823529411765
Demographics of the world,https://en.wikipedia.org/wiki/Demographics_of_the_world,{},17,12,204,0.9166666666666666,45797,0.040229885057471264
Denbighshire County Council,https://en.wikipedia.org/wiki/Denbighshire_County_Council,{},31,4,124,0.25,289,0.27692307692307694
Densbüren,https://en.wikipedia.org/wiki/Densb%C3%BCren,{},10,3,30,0.3333333333333333,42,0.04597701149425287
Department for International Development,https://en.wikipedia.org/wiki/Department_for_International_Development,{},131,3,393,0.6666666666666666,2760,0.32704402515723274
Derventa,https://en.wikipedia.org/wiki/Derventa,{},20,2,40,0.5,1189,0.4358974358974359
Despotovac,https://en.wikipedia.org/wiki/Despotovac,{},20,2,40,0.5,511,0.07894736842105263
Diagnosis code,https://en.wikipedia.org/wiki/Diagnosis_code,{},9,2,18,0.0,985,0.037037037037037035
Dielsdorf,https://en.wikipedia.org/wiki/Dielsdorf,{},8,2,16,0.5,273,0.411764705882353
Dierikon,https://en.wikipedia.org/wiki/Dierikon,{},9,2,18,0.0,69,0.23076923076923078
Dietlikon,https://en.wikipedia.org/wiki/Dietlikon,{},9,2,18,0.5,178,0.1372549019607843
Digital Opportunity Investment Trust,https://en.wikipedia.org/wiki/Digital_Opportunity_Investment_Trust,{},15,3,45,1.0,20,0.3333333333333333
Dihlabeng Local Municipality,https://en.wikipedia.org/wiki/Dihlabeng_Local_Municipality,{},11,5,55,0.6,311,0.20000000000000004
Dinhard,https://en.wikipedia.org/wiki/Dinhard,{},9,2,18,0.5,47,0.18604651162790695
Distribution of wealth,https://en.wikipedia.org/wiki/Distribution_of_wealth,{},24,3,72,0.3333333333333333,13185,0.17699115044247787
Ditsobotla Local Municipality,https://en.wikipedia.org/wiki/Ditsobotla_Local_Municipality,{},12,5,60,0.6,276,0.2095238095238095
Diversification (finance),https://en.wikipedia.org/wiki/Diversification_(finance),{},13,3,39,0.6666666666666666,2317,0.2702702702702703
Doboj,https://en.wikipedia.org/wiki/Doboj,{},20,2,40,0.5,2515,0.4358974358974359
Doljevac,https://en.wikipedia.org/wiki/Doljevac,{},20,2,40,0.5,138,0.07692307692307693
Dominican Republic at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Dominican_Republic_at_the_2015_Pan_American_Games,{},29,4,116,0.75,29,0.4918032786885246
Dominican Republic women's national football team results,https://en.wikipedia.org/wiki/Dominican_Republic_women%27s_national_football_team_results,{},28,10,280,0.8,21,0.5017543859649123
Dorud County,https://en.wikipedia.org/wiki/Dorud_County,{},10,4,40,0.75,58,0.04545454545454545
Dow Jones Transportation Average,https://en.wikipedia.org/wiki/Dow_Jones_Transportation_Average,{},20,3,60,0.0,1764,0.4666666666666667
"Dubica, Bosnia and Herzegovina","https://en.wikipedia.org/wiki/Dubica,_Bosnia_and_Herzegovina",{},20,2,40,0.5,616,0.46153846153846156
Dundee Corporation Tramways,https://en.wikipedia.org/wiki/Dundee_Corporation_Tramways,{},9,4,36,0.0,135,0.03448275862068966
Duplicate bridge movements,https://en.wikipedia.org/wiki/Duplicate_bridge_movements,{},10,10,100,0.1,486,0.10000000000000002
Dutch Americans,https://en.wikipedia.org/wiki/Dutch_Americans,{},52,3,156,0.3333333333333333,7018,0.3300970873786408
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc,{},23,4,92,0.0,44800,0.13793103448275862
Eastern Kentucky Coalfield,https://en.wikipedia.org/wiki/Eastern_Kentucky_Coalfield,{},11,4,44,0.5,1044,0.3452380952380952
Ebikon,https://en.wikipedia.org/wiki/Ebikon,{},9,2,18,0.5,345,0.21428571428571427
Ecclesiastical new moon,https://en.wikipedia.org/wiki/Ecclesiastical_new_moon,{'Gregorian paschal new moon': '%B %d'},19,3,57,0.6666666666666666,216,0.7017543859649122
Economic impact of the COVID-19 pandemic in the United States,https://en.wikipedia.org/wiki/Economic_impact_of_the_COVID-19_pandemic_in_the_United_States,{},44,3,132,0.0,1810,0.20634920634920634
Economy of Arkansas,https://en.wikipedia.org/wiki/Economy_of_Arkansas,{},8,6,48,0.5,681,0.35555555555555557
Economy of Cambodia,https://en.wikipedia.org/wiki/Economy_of_Cambodia,{},9,3,27,0.3333333333333333,6224,0.2222222222222222
Economy of Chile,https://en.wikipedia.org/wiki/Economy_of_Chile,{},76,3,228,0.6666666666666666,8760,0.05291005291005291
Economy of China,https://en.wikipedia.org/wiki/Economy_of_China,{'Date': '%d %B %Y'},14,7,98,0.14285714285714285,65664,0.0805860805860806
Economy of Djibouti,https://en.wikipedia.org/wiki/Economy_of_Djibouti,{},10,7,70,0.5714285714285714,1520,0.05714285714285715
Economy of Georgia (country),https://en.wikipedia.org/wiki/Economy_of_Georgia_(country),{},8,6,48,1.0,6317,0.08333333333333333
Economy of Iceland,https://en.wikipedia.org/wiki/Economy_of_Iceland,{},13,3,39,0.6666666666666666,8542,0.3333333333333333
Economy of Isan,https://en.wikipedia.org/wiki/Economy_of_Isan,{},9,5,45,0.8,267,0.13793103448275865
Economy of Italy,https://en.wikipedia.org/wiki/Economy_of_Italy,{},10,6,60,0.5,21018,0.02531645569620253
Economy of Lithuania,https://en.wikipedia.org/wiki/Economy_of_Lithuania,{},16,3,48,0.3333333333333333,5944,0.196078431372549
Economy of Malawi,https://en.wikipedia.org/wiki/Economy_of_Malawi,{},29,7,203,0.5714285714285714,1800,0.1274131274131274
Economy of Minnesota,https://en.wikipedia.org/wiki/Economy_of_Minnesota,{},30,6,180,0.5,1274,0.2993197278911564
Economy of Mongolia,https://en.wikipedia.org/wiki/Economy_of_Mongolia,{},16,6,96,1.0,4419,0.2916666666666667
Economy of Nigeria,https://en.wikipedia.org/wiki/Economy_of_Nigeria,{},13,4,52,0.25,15168,0.18749999999999997
Economy of Sri Lanka,https://en.wikipedia.org/wiki/Economy_of_Sri_Lanka,{},8,3,24,1.0,10561,0.17687074829931973
Economy of Taiwan,https://en.wikipedia.org/wiki/Economy_of_Taiwan,{},24,5,120,0.8,15978,0.1391304347826087
Economy of the British Empire,https://en.wikipedia.org/wiki/Economy_of_the_British_Empire,{},15,5,75,0.8,2048,0.07407407407407407
Ecuador at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Ecuador_at_the_2015_Pan_American_Games,{},27,4,108,0.75,25,0.4811320754716981
Educational attainment in the United States,https://en.wikipedia.org/wiki/Educational_attainment_in_the_United_States,{},15,12,180,0.08333333333333333,15573,0.05681818181818181
Eglisau,https://en.wikipedia.org/wiki/Eglisau,{},12,2,24,0.0,333,0.2564102564102564
Elections in Lebanon,https://en.wikipedia.org/wiki/Elections_in_Lebanon,{},14,3,42,0.6666666666666666,906,0.42857142857142855
Electron shell,https://en.wikipedia.org/wiki/Electron_shell,{},118,4,472,0.75,16929,0.9957627118644068
Elgg,https://en.wikipedia.org/wiki/Elgg,{},8,2,16,0.5,147,0.17142857142857143
Elias Motsoaledi Local Municipality,https://en.wikipedia.org/wiki/Elias_Motsoaledi_Local_Municipality,{},13,5,65,0.6,327,0.06666666666666667
Eliteserien,https://en.wikipedia.org/wiki/Eliteserien,{},17,4,68,0.75,21316,0.19753086419753085
Elsau,https://en.wikipedia.org/wiki/Elsau,{},9,2,18,0.5,65,0.18604651162790695
Elundini Local Municipality,https://en.wikipedia.org/wiki/Elundini_Local_Municipality,{},20,5,100,0.6,199,0.032
Emakhazeni Local Municipality,https://en.wikipedia.org/wiki/Emakhazeni_Local_Municipality,{},9,5,45,0.4,355,0.15384615384615383
"Emalahleni Local Municipality, Mpumalanga","https://en.wikipedia.org/wiki/Emalahleni_Local_Municipality,_Mpumalanga",{},52,5,260,0.6,1265,0.041791044776119404
Emfuleni Local Municipality,https://en.wikipedia.org/wiki/Emfuleni_Local_Municipality,{},10,5,50,0.6,1133,0.16666666666666666
"Emmen, Switzerland","https://en.wikipedia.org/wiki/Emmen,_Switzerland",{},10,2,20,0.0,596,0.25000000000000006
Emnambithi-Ladysmith Local Municipality,https://en.wikipedia.org/wiki/Emnambithi-Ladysmith_Local_Municipality,{},11,5,55,0.6,205,0.05999999999999999
Enantiopure drug,https://en.wikipedia.org/wiki/Enantiopure_drug,{},18,2,36,0.0,1017,0.7045454545454546
Endumeni Local Municipality,https://en.wikipedia.org/wiki/Endumeni_Local_Municipality,{},8,4,32,0.75,184,0.11538461538461538
English numerals,https://en.wikipedia.org/wiki/English_numerals,{},18,3,54,0.0,5632,0.09259259259259259
Ephraim Mogale Local Municipality,https://en.wikipedia.org/wiki/Ephraim_Mogale_Local_Municipality,{},11,5,55,0.6,208,0.12857142857142856
Eritrean Canadians,https://en.wikipedia.org/wiki/Eritrean_Canadians,{},13,3,39,0.3333333333333333,486,0.5384615384615384
Eritreans in Italy,https://en.wikipedia.org/wiki/Eritreans_in_Italy,{},106,3,318,0.6666666666666666,188,0.297339593114241
"Erlenbach, Switzerland","https://en.wikipedia.org/wiki/Erlenbach,_Switzerland",{},10,2,20,0.5,243,0.15686274509803924
Eslamabad-e Gharb County,https://en.wikipedia.org/wiki/Eslamabad-e_Gharb_County,{},12,4,48,0.75,68,0.04761904761904762
Estimates of historical world population,https://en.wikipedia.org/wiki/Estimates_of_historical_world_population,{},32,12,384,0.9166666666666666,23786,0.05303030303030303
Ethanol fuel by country,https://en.wikipedia.org/wiki/Ethanol_fuel_by_country,{},21,5,105,0.6,1816,0.12000000000000001
Ethiopian Canadians,https://en.wikipedia.org/wiki/Ethiopian_Canadians,{},13,3,39,0.6666666666666666,627,0.6410256410256411
Ettiswil,https://en.wikipedia.org/wiki/Ettiswil,{},8,2,16,0.0,58,0.18421052631578946
Euthal,https://en.wikipedia.org/wiki/Euthal,{},21,2,42,1.0,45,0.23076923076923075
Exponentiation,https://en.wikipedia.org/wiki/Exponentiation,{},10,10,100,1.0,24272,1.0
Eysenck Personality Questionnaire,https://en.wikipedia.org/wiki/Eysenck_Personality_Questionnaire,{},9,3,27,0.0,2908,0.13888888888888887
FAM40A,https://en.wikipedia.org/wiki/FAM40A,{},20,6,120,0.16666666666666666,15,0.11666666666666667
FIFA Beach Soccer World Cup records and statistics,https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup_records_and_statistics,{},16,6,96,0.8333333333333334,447,0.5591397849462364
FTSE 100 Index,https://en.wikipedia.org/wiki/FTSE_100_Index,{},100,3,300,0.0,29714,0.08623548922056386
FTSE MIB,https://en.wikipedia.org/wiki/FTSE_MIB,{},40,4,160,0.0,1594,0.41875
Famenin County,https://en.wikipedia.org/wiki/Famenin_County,{},8,3,24,0.6666666666666666,34,0.08333333333333333
Fanuj County,https://en.wikipedia.org/wiki/Fanuj_County,{},9,2,18,0.5,39,0.09523809523809525
Fariman County,https://en.wikipedia.org/wiki/Fariman_County,{},12,4,48,0.75,52,0.043478260869565216
FastTrack Automation Studio,https://en.wikipedia.org/wiki/FastTrack_Automation_Studio,{'Date': '%B %Y'},10,3,30,0.3333333333333333,20,0.14634146341463414
Fehraltorf,https://en.wikipedia.org/wiki/Fehraltorf,{},10,2,20,0.5,109,0.1923076923076923
Feuerthalen,https://en.wikipedia.org/wiki/Feuerthalen,{},10,2,20,0.5,89,0.23809523809523808
Field artillery in the American Civil War,https://en.wikipedia.org/wiki/Field_artillery_in_the_American_Civil_War,{},14,3,42,0.6666666666666666,4588,0.0689655172413793
Filisur,https://en.wikipedia.org/wiki/Filisur,{},11,2,22,0.5,487,0.45454545454545453
Fireworks,https://en.wikipedia.org/wiki/Fireworks,{},14,3,42,0.0,20803,0.46296296296296297
Firozabad district,https://en.wikipedia.org/wiki/Firozabad_district,{},9,4,36,0.0,1420,0.05357142857142857
"Fischbach, Lucerne","https://en.wikipedia.org/wiki/Fischbach,_Lucerne",{},9,2,18,0.0,43,0.25
Five Eyes,https://en.wikipedia.org/wiki/Five_Eyes,{},21,4,84,0.0,78082,0.7
Flaach,https://en.wikipedia.org/wiki/Flaach,{},11,2,22,0.5,64,0.25
Flurlingen,https://en.wikipedia.org/wiki/Flurlingen,{},11,2,22,0.5,56,0.19148936170212763
Foča,https://en.wikipedia.org/wiki/Fo%C4%8Da,{},20,2,40,0.5,2298,0.4358974358974359
Foreign football players in Germany,https://en.wikipedia.org/wiki/Foreign_football_players_in_Germany,{},32,2,64,0.5,149,0.28440366972477066
Forme Tour,https://en.wikipedia.org/wiki/Forme_Tour,{'Date': '%b %d'},8,6,48,0.3333333333333333,117,0.25
Fossilized affixes in Austronesian languages,https://en.wikipedia.org/wiki/Fossilized_affixes_in_Austronesian_languages,{},18,4,72,0.0,73,0.06756756756756756
France at the 2012 Summer Olympics,https://en.wikipedia.org/wiki/France_at_the_2012_Summer_Olympics,{},27,4,108,0.75,911,0.7358490566037735
Freienstein-Teufen,https://en.wikipedia.org/wiki/Freienstein-Teufen,{},8,2,16,0.5,60,0.16216216216216217
Göschenen,https://en.wikipedia.org/wiki/G%C3%B6schenen,{},12,2,24,0.5,470,0.5
GWR 5600 Class,https://en.wikipedia.org/wiki/GWR_5600_Class,"{'Built': '%B %Y', 'Withdrawn': '%b %Y'}",9,9,81,0.1111111111111111,1093,0.32098765432098764
Ga-Segonyana Local Municipality,https://en.wikipedia.org/wiki/Ga-Segonyana_Local_Municipality,{},8,4,32,0.75,190,0.06666666666666667
Gacko,https://en.wikipedia.org/wiki/Gacko,{},20,2,40,0.5,1043,0.48717948717948717
Gadžin Han,https://en.wikipedia.org/wiki/Gad%C5%BEin_Han,{},20,2,40,0.5,222,0.05555555555555556
Garden Route District Municipality,https://en.wikipedia.org/wiki/Garden_Route_District_Municipality,{},15,3,45,0.3333333333333333,1564,0.09876543209876543
Gariep Local Municipality,https://en.wikipedia.org/wiki/Gariep_Local_Municipality,{},9,4,36,0.75,53,0.25
Gelao languages,https://en.wikipedia.org/wiki/Gelao_languages,{},10,2,20,0.5,220,0.14285714285714288
General MIDI,https://en.wikipedia.org/wiki/General_MIDI,{},10,2,20,0.0,5668,0.06521739130434782
Geographical distribution of French speakers,https://en.wikipedia.org/wiki/Geographical_distribution_of_French_speakers,{},51,6,306,0.3333333333333333,7931,0.14102564102564105
Geography of England,https://en.wikipedia.org/wiki/Geography_of_England,{},15,5,75,0.6,3662,0.34838709677419355
"George Town, Chennai","https://en.wikipedia.org/wiki/George_Town,_Chennai",{},20,2,40,0.0,1458,0.26829268292682923
Georgia national futsal team,https://en.wikipedia.org/wiki/Georgia_national_futsal_team,{},51,7,357,0.8571428571428571,212,0.330975954738331
Geroldswil,https://en.wikipedia.org/wiki/Geroldswil,{},9,2,18,0.5,71,0.2857142857142857
Gershon Iskowitz,https://en.wikipedia.org/wiki/Gershon_Iskowitz,{},30,4,120,0.0,97,0.06521739130434784
Ghirone,https://en.wikipedia.org/wiki/Ghirone,{},8,2,16,0.5,31,0.27586206896551724
Gilan-e Gharb County,https://en.wikipedia.org/wiki/Gilan-e_Gharb_County,{},11,4,44,0.75,49,0.022727272727272728
Giornico,https://en.wikipedia.org/wiki/Giornico,{},8,2,16,0.5,119,0.24999999999999994
Giubiasco,https://en.wikipedia.org/wiki/Giubiasco,{},11,2,22,0.5,193,0.23404255319148937
Glossop line,https://en.wikipedia.org/wiki/Glossop_line,{},13,5,65,0.2,556,0.35384615384615387
Golpayegan County,https://en.wikipedia.org/wiki/Golpayegan_County,{},8,4,32,0.75,82,0.125
Gordon Hunter Memorial Trophy,https://en.wikipedia.org/wiki/Gordon_Hunter_Memorial_Trophy,{},24,5,120,0.2,29,0.37446808510638296
Govan Mbeki Local Municipality,https://en.wikipedia.org/wiki/Govan_Mbeki_Local_Municipality,{},19,5,95,0.6,371,0.21818181818181817
Government of Gauteng,https://en.wikipedia.org/wiki/Government_of_Gauteng,{},11,2,22,0.0,389,0.09523809523809525
"Gradiška, Bosnia and Herzegovina","https://en.wikipedia.org/wiki/Gradi%C5%A1ka,_Bosnia_and_Herzegovina",{},20,2,40,0.5,1419,0.4358974358974359
Graduate unemployment,https://en.wikipedia.org/wiki/Graduate_unemployment,{},74,6,444,0.0,985,0.10364145658263305
Grammatical case,https://en.wikipedia.org/wiki/Grammatical_case,{},8,5,40,0.0,18276,0.1032258064516129
Graves's emergent cyclical levels of existence,https://en.wikipedia.org/wiki/Graves%27s_emergent_cyclical_levels_of_existence,{},8,10,80,0.0,433,0.10000000000000002
Greater Pittston,https://en.wikipedia.org/wiki/Greater_Pittston,{},14,2,28,0.0,201,0.5
Greater Taung Local Municipality,https://en.wikipedia.org/wiki/Greater_Taung_Local_Municipality,{},9,5,45,0.6,187,0.08333333333333334
Greater Tubatse Local Municipality,https://en.wikipedia.org/wiki/Greater_Tubatse_Local_Municipality,{},21,5,105,0.6,204,0.01951219512195122
Greater Tzaneen Local Municipality,https://en.wikipedia.org/wiki/Greater_Tzaneen_Local_Municipality,{},12,5,60,0.6,408,0.07567567567567568
Greek junta trials,https://en.wikipedia.org/wiki/Greek_junta_trials,{},10,2,20,0.0,626,0.16666666666666666
Grocka,https://en.wikipedia.org/wiki/Grocka,{},20,3,60,0.3333333333333333,435,0.2962962962962963
Grossdietwil,https://en.wikipedia.org/wiki/Grossdietwil,{},9,2,18,0.0,47,0.17948717948717952
Guatemala at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Guatemala_at_the_2015_Pan_American_Games,{},30,4,120,0.75,27,0.4912280701754386
Gunzwil,https://en.wikipedia.org/wiki/Gunzwil,{},8,2,16,0.0,53,0.18518518518518517
Gurtnellen,https://en.wikipedia.org/wiki/Gurtnellen,{},12,2,24,0.5,89,0.25
Gurudas Banerjee,https://en.wikipedia.org/wiki/Gurudas_Banerjee,{},8,5,40,0.2,330,0.012307692307692308
Gushegu (Ghana parliament constituency),https://en.wikipedia.org/wiki/Gushegu_(Ghana_parliament_constituency),{},10,3,30,0.3333333333333333,61,0.22222222222222224
Höri,https://en.wikipedia.org/wiki/H%C3%B6ri,{},9,2,18,0.5,84,0.17073170731707318
H.M.S. Pinafore,https://en.wikipedia.org/wiki/H.M.S._Pinafore,{},9,5,45,0.0,10558,0.4000000000000001
Hagenbuch,https://en.wikipedia.org/wiki/Hagenbuch,{},8,2,16,0.5,55,0.21212121212121213
Hamidiyeh County,https://en.wikipedia.org/wiki/Hamidiyeh_County,{},8,2,16,0.5,31,0.06666666666666667
Hampshire League,https://en.wikipedia.org/wiki/Hampshire_League,{},99,2,198,0.0,337,0.5353535353535354
Hands Across America,https://en.wikipedia.org/wiki/Hands_Across_America,{},18,5,90,0.6,12268,0.1696969696969697
Haplogroup S (mtDNA),https://en.wikipedia.org/wiki/Haplogroup_S_(mtDNA),{},48,4,192,0.0,270,0.038461538461538464
Hardware performance counter,https://en.wikipedia.org/wiki/Hardware_performance_counter,{},10,2,20,0.5,725,0.03636363636363636
Harsin County,https://en.wikipedia.org/wiki/Harsin_County,{},9,4,36,0.75,137,0.1111111111111111
Hashtrud County,https://en.wikipedia.org/wiki/Hashtrud_County,{},12,4,48,0.75,46,0.043478260869565216
Hawk Hill (California),https://en.wikipedia.org/wiki/Hawk_Hill_(California),{},22,2,44,0.0,320,0.46153846153846156
Health insurance coverage in the United States,https://en.wikipedia.org/wiki/Health_insurance_coverage_in_the_United_States,{},52,17,884,0.9411764705882353,1849,0.08849557522123894
Healthcare in West Bengal,https://en.wikipedia.org/wiki/Healthcare_in_West_Bengal,{},15,3,45,0.6666666666666666,647,0.13725490196078433
