Name of Village,Gram Panchayat,Nearest town
Pipria Mandan,Pipria Mandan,Pilibhit
Pipria Navdia,Pipariya Navadiya,Pilibhit
Pipria Santosh,Pipria Santosh,Pilibhit
Pipria Shanjarpur,Pipariya Sanjarpur,Pilibhit
Pipria Singhipur,Pipria Singhipur,Pilibhit
Pipria T Pagar,Amkhirya T Pagar,Pilibhit
Pipriya Dulai,Pipriya Dulai,Puranpur
Pooranpur Kurraiya,Tanda,Puranpur
Prahladpur M Kalinagar,Sukhdaspur Navadia,Pilibhit
Pratap Dandi,Lucknow Kalan,Pilibhit
Pratap Pur,Pratappur,Pilibhit
Prithipur,Prithipur,Bisalpur
Puraina,Puraina,Bisalpur
Puraina,Jahanabad Dehat,Jahanabad
Puraina Mafi,Ruriya,Pilibhit
Puraina T Madhau Tanda,Chandopur,Pilibhit
Puraina T Maharajpur,Puraina T Maharajpur,Pilibhit
Puraini Deepnagar,Mathna Jabti,Pilibhit
Purainia Ramgulam,Purainia Ramgulam,Pilibhit
Puranpur Khas,Puranpur Dehat,Puranpur
Purnapur,Khundara,Pilibhit
Purnapur,Puraina,Pilibhit
Purva Bhooda Sahraee,Purawa Bhooda Mu,Pilibhit
Purwa Bhooda Mustqil,Purawa Bhooda Mu,Pilibhit
Pyas,Pyaas,Pilibhit
Qabulpur,Qabulpur,Pilibhit
Radheta Ehat,Radheta Must,Pilibhit
Radheta Must,Radheta Must,Pilibhit
Rafiapur,Rafiapur,Pilibhit
Raghunathpur,Raghunathpur,Pilibhit
Raghunathpur J Sikrahna,Sundarpur,Pilibhit
Rai Nagla,Jeohra Kalyanpur,Pilibhit
Raipur,Raipur,Pilibhit
Raipur Bichpur,Raipur Bichpuri,Pilibhit
Raipur Ehatmali,Raipur Mustqil,Pilibhit
Raipur J Gulria,Pipria Jaibhadra,Puranpur
Raipur M Rampur,Abhaipur M Shahgarh,Pilibhit
Raipur Mustqil,Raipur Mustqil,Pilibhit
Rajpur Kandari,Rajpur Kandari,Pilibhit
Rajpur T Madhau Tanda,Narayanpur Bujurg,Pilibhit
Rajpur T Maharajpur,Raajpur Ta Maharajpur,Pilibhit
Ram Nagar,Gularia Bhoopsingh,Pilibhit
Ramapur,Gajraula,Pilibhit
Rambojha,Rambojha,Bisalpur
Ramkot,Simra T Maharajpur,Pilibhit
Ramnagar,Tandola,Pilibhit
Ramnagar Jagatpur,Ramnagar Jagatpur,Pilibhit
Ramnagar Ta Chandpur,Jograjpur,Puranpur
Ramnagra,Ramnagra,Pilibhit
Rampur Amrit,Rampur Amrit,Bilsanda
Rampur Basant,Rampur Basant,Pilibhit
Rampur Baurakh,Tanda Bijaisi Sahrai,Pilibhit
Rampur Fakire,Rampur Fakire,Puranpur
Rampur M Bhavsi,Baijunagar,Pilibhit
Rampur M Kon,Rampur M Kon,Pilibhit
Rampur M Raipur,Bangla Urf Mitrasen,Pilibhit
Rampur Munjapta,Garha Kalan,Pilibhit
Rampur T Ghunchai,Simra T Ghunchai,Puranpur
Rampur T Mahrajpur,Rampur T Mahrajpur,Puranpur
Rampur T Majhara,Piparia Majhara,Puranpur
Rampur T Sultanpur,Sultanpur,Pilibhit
Rampura,Mudiya Ratanpuri,Pilibhit
Rampura Mishra,Rampura Mishra,Jahanabad
Rampura Natthu,Rampura Natthu,Pilibhit
Rampura Naugawan,Nagria Fatehpur Must,Pilibhit
Rampura Rama,Khandepur,Pilibhit
Rampura Rampuria,Ajeetpur Vilah,Puranpur
Rampura Ujhainia Ehatmali,Ramura Ujhaniya Mu,Jahanabad
Rampura Ujhainia Mustqil,Ramura Ujhaniya Mu,Jahanabad
Rampuria Biran,Daga,Pilibhit
Rampuria Mahof,Chura Khera,Pilibhit
Rampuria Sirsa,Rampuria Sirsa,Pilibhit
Rana Pratap Nagar,Rana Pratap Nagar,Puranpur
Ranmustpur J Balrampur,Balrampur J Ranmustpur,Puranpur
Raria T Gajraula,Kadher Chaura T Gajraula,Puranpur
Rasiakhanpur,Rasiakhanpur,Bisalpur
Rasoolpur,Sabalpur Khas,Puranpur
Rasula,Tirkunia Nasir,Pilibhit
Rasula Ehatmali,Rasula Mustkil,Pilibhit
Rasula Mustkil,Rasula Mustkil,Pilibhit
Rasulpur Muzpata,Mahadev Mati,Pilibhit
Rasulpur Pachpukhra,,Puranpur
Rath,Rath,Pilibhit
Rauhatania,Rauhatania,Pilibhit
Richhaula Sawal,Richhaula Sawal,Pilibhit
Richhaulia,Richhaula Sawal,Bisalpur
Richhola Ghasi Ehat,Richhola Ghasi Must,Pilibhit
Richhola Ghasi Must,Richhola Ghasi Must,Bisalpur
Richhola Mustqil,Richola Mu,Pilibhit
Richhola Sahrai,Richola Mu,Pilibhit
Rohania,Rohania,Pilibhit
Roop Pur Kamalu,Roop Pur Kamalu,Pilibhit
Roop Pur Kripa,Roop Pur Kripa,Pilibhit
Rotapur,Rotapur,Pilibhit
Rudrapur,Abhaipur J Jagatpur,Puranpur
Rujha,Sapah,Pilibhit
Rura Ramnagar,Rura Ramnagar,Pilibhit
Ruria Ghuriya,Ruria Ghuriya,Bilsanda
Ruria Salempur,Ruriya Salempur,Pilibhit
Ruriya,Ruriya,Bisalpur
Sabalpur Khas,Sabalpur Khas,Puranpur
Sabalpur M Rampur Fakire,Sabalpur M Rampur Fakire,Pilibhit
Sabalpur M Tanda Gulabrai,Narayanpur Bujurg,Pilibhit
Sabalpur Mustqil Jamunia,Aspur,Pilibhit
Sabeypur,Sabeypur,Bisalpur
Saddarpur,Saddarpur,Gularia Bhindara
Sadia Ladpur,Tehri,Bisalpur
Safaura,Safaura,Pilibhit
Sahgawan Nagria,Sahgawan Nagria,Pilibhit
Saidpur,Saidpur,Pilibhit
Saijani Bankati,Maithi Saidulla Ganj,Nyoria Husainpur
Saijna Ehatmali,Saijna Mustqil,Pilibhit
Saijna Mustqil,,Pilibhit
Saijna Sahraee,,Pilibhit
Sakatpur,Kanakore,Jahanabad
Sakatpur T Chandpur,Jograjpur,Pilibhit
Sakhaula,Sakhaula,Pilibhit
Sakhiya,Gajraula,Pilibhit
Samar Khera,Semar Khera,Jahanabad
Sampurnanagar Range,,Puranpur
Sand Deo,Kalyanpur T Kareli,Bilsanda
Sanda,Sanda,Pilibhit
Sandai,Sandai,Pilibhit
Sandia Ehatmali,Sandia Mustqil,Pilibhit
Sandia Mugalpura,Sadiya Mugal Pura,Nyoria Husainpur
Sandia Mustqil,Sandia Mustqil,Pilibhit
Sangawan,Sangawan,Pilibhit
Santoshpur,Pipria Santosh,Pilibhit
Santoshpura,Santoshpura,Pilibhit
Sapaha,Sapah,Puranpur
Sapha,Sapaha,Pilibhit
Sarai Sundarpur,Sarai Sundarpur,Pilibhit
Sarai Urf Saraiya,Pandri Marauri,Bilsanda
Sarainda Patti,Sarainda Patti,Amaria
Saraini Turkunia,Saraini Turkunia,Pilibhit
Saraura,Saraura,Pilibhit
Sarauri,Sarauri,Pilibhit
Sardar Nagar,Sardar Nagar,Pilibhit
Sathrapur Ehatmali,Sathrapur Mu,Pilibhit
Sathrapur Mustqil,Sathrapur Mu,Pilibhit
Satipur,Shahbajpur,Puranpur
Sayar,Sayar,Pilibhit
Sehramau Uttari,Seharmau Uttari,Pilibhit
Sekhpur,Jagipur Jaitpur,Bisalpur
Selha,Selha,Pilibhit
Shahbajpur,Shahbajpur,Puranpur
Shahbajpur Ehat,,Pilibhit
Shahbajpur Must,Radheta Must,Bisalpur
Shahee,Shahee,Jahanabad
Shahgarh,Shahgarh,Pilibhit
Shahpura,Shahpura,Pilibhit
Shaleh Nagar,Kalyanpur,Puranpur
Shampur,Malakpur,Bisalpur
Shanti Nagar,Shantinagar,Puranpur
Sharifganj,Amarganj Mustqil,Pilibhit
Shastri Nagar,Shastri Nagar,Puranpur
Shayampur Mustqil,Aspur,Jahanabad
Shekhupur,Dudhia Khurd,Pilibhit
Sherganj Dharmangadpur,Sherganj Dharmangadpur,Pilibhit
Sherganj Khurd,Bakainia Talluka Mahad,Bisalpur
Sherpur Kalan,Sherpur Kalan,Pilibhit
Sherpur Makrandpur,Sherpur Makrandpur,Puranpur
Shikarpur,Sherpur Kalan,Pilibhit
Shimbhua,Sundarpur,Puranpur
Shiv Nagar,Shiv Nagar,Pilibhit
Shivpur Nawadia,Shivpur Nawadia,Pilibhit
Shivpuria,Shivpuria,Pilibhit
Shree Nagar,Shree Nagar,Puranpur
Shyampur,Haripur T Chandpur,Pilibhit
Shyampur Ehatmali,Aspur,Jahanabad
Siddhnagar,Siddhnagar,Puranpur
Sidhaura Bindhuwa,Sidhaura Bindhuwa,Pilibhit
Sikandarpur J Kuluhagarha,Sabalpur Khas,Puranpur
Sikrahna,Sikrahani,Pilibhit
Simar Inchharam,Mosepur Kalan,Pilibhit
Simra Jagir,Simria Tarachandra,Pilibhit
Simra Mahipat,Nagariya Tulagiri,Bilsanda
Simra T Ghunchai,Simra T Ghunchai,Puranpur
Simra T Maharajpur,Simra T Maharajpur,Pilibhit
Simraiya J Kulhagarha,Parsadpur,Puranpur
Simrauli,Simrauli,Bilsanda
Simraya T Ghungchihai,Simraya T Ghungchihai,Puranpur
Simria Anoop,Dahgala,Pilibhit
Simria Gausu,Simariya Gaisu,Pilibhit
Simria T Maharajpur,Simria T Maharajpur,Pilibhit
Simria Tarachandra,Simria Tarachandra,Pilibhit
Simriya T Ajitpur Bilha,Simriya T Ajitpur Bilha,Pilibhit
Sinbua,Sinbua,Bilsanda
Sinbuapur,Muraina,Bilsanda
Sindhaura Kharagpur,Sindhaura Kharagpur,Bilsanda
Singhara Urf Tatarganj,Singhara Urf Tatarganj,Puranpur
Singhpurta Chandpur,Fatepur Khurd,Pilibhit
Singipur,Rath,Pilibhit
Sirsa,Sirsa,Pilibhit
Sirsa,Sirsa,Sitarganj
Sirsa Sardah Mustqil,Sirsa Sardah Mustqil,Pilibhit
Sirsa Sardah Sahrai,Sirsa Sardah Mustqil,Pilibhit
Sisaiya,Sisaiya,Pilibhit
Sisaiya,Sisaiya,Pilibhit
Sisaiya Jalalpur,Malakpur,Pilibhit
Sisiya Sahab,Sisaiya Sahab,Pilibhit
Sitalpur Marauri,Ora Jhar,Bilsanda
Sitalpur Qazi,Hafiznagar Banhai,Pilibhit
Sitarganj Navdia Ehat,Sitarganj Navdia Must,Bisalpur
Sitarganj Navdia Must,Sitarganj Navdia Must,Pilibhit
Siya Bari Patti,Siya Bari Patti,Pilibhit
Sohanna,Simraya T Ghungchihai,Pilibhit
Sondha,Sondha,Pilibhit
Sondha,Sondha,Pilibhit
Sondhia,Gajheri,Bisalpur
Sonupura,Chandopur,Pilibhit
Soraha,Richhola Ghasi Must,Pilibhit
Suabojh,Suabojh,Puranpur
Suhas,Suhas,Pilibhit
Suhela,Int Gaon,Bisalpur
Sujanpur,Abhaipur J Jagatpur,Puranpur
Sujnee,Sujnee,Bisalpur
Sukatia Jaskaranpur,Sukatia Jaskaranpur,Pilibhit
Sukhdaspur,Takia Dinarpur,Puranpur
Sukhdaspur Navadia,Sukhdaspur Navadia,Pilibhit
Suktia,Suktia,Jahanabad
Sultanpur,Sultanpur,Puranpur
Sundarpur,Sundarpur,Puranpur
Sunderpur,Sunderpur,Pilibhit
Sunderpur,,Pilibhit
Sungarhi,Dhuria Paliya,Pilibhit
Surajpur,Surajpur Ehatmali,Majhola
Surajpur Ehatmali,Surajpur Ehatmali,Majhola
Surajpur Urf Shivnagar,Gaunera,Pilibhit
Suswar Ehatmali,Suswar,Pilibhit
Suswar Mustqil,Suswar,Pilibhit
Swami Navada,Daulatpur Patti,Bisalpur
Tah,Tah,Pilibhit
Tajpur,Dhakia Jalalpur,Bilsanda
Takia,Kainch,Pilibhit
Takia Dinarpur,Takia Dinarpur,Puranpur
Tanda,Tanda,Puranpur
Tanda Bijaisi,Tanda Bijaisi Sahrai,Nyoria Husainpur
Tanda Bijaisi Sahrai,Tanda Bijaisi Sahrai,Nyoria Husainpur
Tanda Chhatrapati,Tanda Chhatrapati,Pilibhit
Tanda Gulabrai,Tanda Gulabrai,Pilibhit
Tanda Madiau,,Pilibhit
Tanda Surat,Daga,Pilibhit
Tandola,Kurri Mustqil,Pilibhit
Tandola,Tandola,Pilibhit
Tapa Viran,Amkhidiya,Pilibhit
Tar Kunia Nasir,Tirkunia Nasir,Jahanabad
Tehri,Tehri,Pilibhit
Terha Lekhraj,Dandia Bhagat,Pilibhit
Terha Shriram,Terha Shriram,Pilibhit
Tharwan,Shahbajpur,Puranpur
Tihuliya,Lalor Gujranpur,Pilibhit
Tikri Mafi,Tikri Mafi,Bisalpur
Tilchhi,Tilchhi,Bilsanda
Tilsanda Hansua,Tilsanda Hasua,Bilsanda
Tondarpur,Tondarpur Mustqil,Majhola
Tukra Jangal,Suabojh,Puranpur
Tulapur,Kuraiya Kalan,Bilsanda
Tulapur,Kadher Chaura T Gajraula,Puranpur
Tulsipur,Khiri Naubaramad,Pilibhit
Tumria,Tumria,Pilibhit
Turkpur Urf Barhwar,Turkpur Urf Barhwar Mustqil,Nyoria Husainpur
Turrha,Ghung Chaiya,Bisalpur
Uchsiya,Khanpur Urf Birampur,Bisalpur
Udaikaranpur,Udaikaranpur,Pilibhit
Udaipur Kalan,Udaipur Khurd,Puranpur
Udaipur Khurd,Udaipur Khurd,Puranpur
Udara,Udara,Pilibhit
Udaraha,Rambojha,Bisalpur
Udaypur Mafi,Udaypur,Jahanabad
Udraha,Ghungchihai,Puranpur
Uganpur,Uganpur,Pilibhit
Uganpur,Madho Tanda,Pilibhit
Uganpur Bisalpur,Uganpur Bisalpur,Bisalpur
Uganpur Marori,Uganpur Marori,Bisalpur
Ujhainia Rampur Mustqil,Ujhainia Rampur Mustqil,Barkhera
Ujhainia Rampura Ehatmali,Ujhainia Rampur Mustqil,Pilibhit
Ulkari Dhakia,Ulkari Dhakia,Gularia Bhindara
Ullika,Hafiznagar Banhai,Bisalpur
Umarsar Ehatmali,Umarsar Mustqil,Kharkhera
Umarsar Mustqil,Umarsar Mustqil,Barkhera
Umra Khan Singh,Umarkhan Singh,Bisalpur
Umraia,Umraia,Pilibhit
Usmanpur,Biharipur J Itauria,Pilibhit
Vahanpur,Vahanpur,Pilibhit
Vasthana,Vasthana,Pilibhit
Vedkhera,Manpur Marori,Pilibhit
Vijai Nagar,Vijai Nagar,Puranpur
Vikrampur,Vikrampur,Pilibhit
Visem,Visain,Jahanabad
